index,sentence
0,El capital logrado —como Dios- imponer creencia omnipotencia eternidad capaces aceptar fin mundo nadie parece capaz concebir fin capitalismo
1,Hemos terminado confundir sistema capitalista sístema solar
2,Nosotros Prometeo dispuestos aceptar desafío asaltar sol
3,Thomas Munk Manifiesto capitalismo tecnológico Toda creación lenguaje lenguaje razón inexplicable podemos leer exterior podemos escuchar interior
4,Es digo hecho idiotas
5,Algo pasado muestra inteligencia
6,Mi razonamiento siguiente ensamblajes unen partes Cerebro lenguaje
7,Nosotros partes Cerebro ergo lenguaje
8,¿Por entonces asumimos
9,Ni siquiera sabemos menos realidad externa participamos
10,El origen palabra idiota palabra privado
11,Cada vuelto privado dejado compartir pensamientos comunes Cerebro sólo queda mínimo nivel subliminal conexión
12,Horselover Fat Exégesis Prólogo En proemio Metamorfosis Ovidio indica Mi inspiración lleva hablar figuras transformadas cuerpos nuevos
13,¡Dioses favorables proyectos pues ustedes mismos ocasionaron transformaciones entrelacen poema interrupción albores origen mundo época
14,El cuentero quiere encontrar enlace unidad interrupción fragmentos Metamorfosis transformaciones conectan presente origen mismo universo
15,Nos gusta sucinta manera incluso pedirles dioses surge entrelace
16,Lo une libro figuras transformadas cuerpos nuevos
17,1/ El año 2028 Despierta Alice susurra Alfred caricias
18,No déjala duerma interviene Trilcinea protegiendo amiga defensora insobornable amoroso cancerbero sueños Alice Mar
19,Un ángel mecánico eleva noche observa
20,Y ve cuantos hombres caminan oscuridad ve vacío parece inacabable extiende cuatro puntos cardinales tierras barbechas verjas desatendidas riachuelos nuevos bosques espontáneos llanos yerba todas enredaderas concebibles dejando atrás pocos hornos hogueras tejen luz noche vez luchan precarios monte surcos superficiales implementos madera apenas rascan tierra árida altura puede ver medio lares agrícolas campos gigantes vaciados campos desertados año dos pos Veces tierra recupere fertilidad modo natural chozas bloque madera zinc paneles solares rodeadas alambre púa Jardines veces adentro palizada puede ver batey cocinas leña lados aldeas dispersas pueblos ruinas retomados verde centros comerciales reutilizados fortalezas desiertos esqueleto edificios Compañías americanas abandonaron isla tan pronto precarizó comercio 13 calles ruina iglesias doscientos años ahora albergan encuentre plazas pueblos vacías décadas ahora herreros carpinteros costureros artesanos pueblo caminitos acaban montañas valles soledad ruinas llegar área metropolitana única luz eléctrica sobrepoblada luces pestañean parecen echarle guiños oscuridad arropa afueras suburbios metropolitanos puede ver docena familias ricas escondidas murallas defendidas armas pueblo amurallado militarizado mantener resto población afuera luego ciudad caótica desbordada acompañada acompasada apagones constantes ritmo recordatorio mundo petróleo terminará tos organismo avejentado sobrevive apenas respiración artificial
21,El ángel mecánico drone observa altura Puerto Rico año 2028
22,Pero bien duerma ahí Trilci
23,Mira problemas sueño
24,Alice despierta
25,Va baño
26,Se arregla nariz
27,Y vuelve súper dispuesta
28,Y ganas bailar
29,Están bar medio hipster medio decadente Santurce queda unas cuadras
30,Alice Trilce dicen Alfred venga bailar
31,Alfred recién acaba llegar después preparar clases mañana nueve noche ganas
32,Trata poner cara serio
33,Chicas preocupado
34,¿Y quién grita respuesta cualquiera
35,Les cuenta apagones falta comida sino escuchando voces nuevo
36,Ambas ignoran
37,Alfred quería quedarse casa leyendo
38,Alice 14 comienza par horas turno noche cocina/bar dos cuadras tampoco quería salir
39,Trilci entra trabajo mañana siete media novio gringo odia Puerto Rico prefiere encerrarse casa leer tampoco quería salir
40,En fin ninguno tres quería allí une
41,De manera Alice convence Trilci salgan quiere lidiar Alfred sola sabiendo Trilci búsqueda cualquier excusa casa
42,Pero Trilci vivió Alfred años atrás puede tolerar pendejadas Alfred menos mismas razones incapaz tolerar justas soledades novio
43,Así Trilcinea llamó Jefe invitó jangueo garantizándole dos cosas primero Alfred muy mal necesita sabía certeza imaginaba cortesía tono voz Alice segundo Alfred quería tener sesiones grabación continuando tradición difunto amigo Profesor O progresaba libro conversaciones llamaba cursísimo Conversaciones colapso modernidad
44,Todo chantaje piensan/saben tres
45,Yo
46,Yo sé dicen mismos quieren acompañarse compañía frente apagones
47,Y Alfred vuelve abrir boca
48,Vienen lugares chiquitos
49,Por ejemplo revisé botiquín mañana seis voces provenían esquina botiquín
50,Alice desespera
51,Ay Alfred seis mañana siempre escucho voces cabeza nomás ignoro
52,Trilci experta dinámicas relación A cambia tema
53,15 Alice ¿cómo debe ser raro cambio
54,Caja cambios cambios grandes cambios chiquitos carajo trabajando bar isla cocina borrachos
55,Y veces necesaria intervención
56,Los amigos tienden repetir misma conversación alguien trata detener inercia
57,Pues
58,Me divierto
59,Y aun así gano Alfred
60,Alfred derrotado va baño arreglarse nariz vuelve pasa chicas sobrecitos individuales
61,Eso justifica patético hombría jamás admitiría palabra
62,Si incapaz interesar mujer ama mujer amó menos puede proveer sustancias ser sustancial manera isla desbordada drogas sobrepoblada drogas
63,Cuando cerraron puertos toda cocaína colombiana heroína traían militares Afganistán marihuana producida localmente pastillas farmacéuticas cargamento ruta Estados Unidos quedó ahí comprador
64,Lo único abunda isla panóptica drogas
65,Trilci vuelve baño oscuridad apagón
66,Se queja polvo muy fuerte gusta claro decía gustaba perico acabó mitad sobrecito golpe pone armar blunt
67,Hablan escuela trabajan Alfred Trilci hablan poesía terquedad puertorriqueños seguir escribiendo poesía pesar isla hundiendo
68,Alice dice Trile admira cómo gusta leer escritores jóvenes cuesta leer jóvenes gusta hacen editoriales improvisadas desmadre cuesta leerlos entiende entristece
69,16 barrio pidió encendedor así encendedor
70,Alice recuerda nunca podía confiar Jefe Profesor O gente vivía calle regalaban
71,Una vez O volvió bar zapatos luego salir fumar cigarrillo vagabundo conocía convenció necesitaba mientras Jefe asentía confirmando pendejo historia amigo
72,Chicas perdonen interrumpa
73,Pero realmente contarle alguien
74,Cada día peor
75,Ahora mismo abrir cerveza escuché nuevo
76,Me interrumpen vida
77,Cómo puedo enseñar cómo puedo participar asambleas si volviendo loco
78,Alice saca bolso botellón compota berenjenas avinagradas ordena Alfred intercambie cervezas bar mientras reparte sobra mesas gente hambre
79,Trilci respira hondo
80,Piensa novio gringo solo casa obstinadamente leyendo Platón probablemente hambre
81,Luego Alfred aprovecha Alice pone hablar desconocidos sirve compota confrontar Trilci
82,Yo entiendo Alice quiera escuchar
83,Está harta ¿por tampoco escuchas
84,¿Acaso preocupas
85,¿Acaso amiga
86,Chantaje
87,Bueno pues dale
88,¿Cuándo empezaste oír voces lugares chiquitos
89,Pues murió O. Listo
90,Resuelto problema
91,Tú leíste Freud
92,Haz trabajo
93,Estás duelo
94,No así fácil
95,Sí así fácil
96,Lo difícil melancólico 18 narcisismo Alice abandonada
97,La trajiste Puerto Rico hace año dejó vida venirse podrida isla mierda medio debacle energética
98,Ella conoce país país cayendo pedazos ningún momento veo ayudarla transición
99,Lo único haces darle drogas quejarte locuras
100,Mírala carajo ganas hacer cosas acá hacer amigos hacer vida quejas
101,Las compotas prepara Alice van salvar mundo narcicismo matando
102,Jódete cabrona
103,Tras insulto Trilcinea pasa blunt encendido Alfred acepta gusto silencioso cariño
104,Lo preserva seca guarda debajo tierra pueda comer futuro
105,Los preservan mañana sal tierra así
106,Hay sal conversaciones
107,Sal preservar medio descojonamiento mundo
108,Otro apagón
109,Y oscuridad emerge Jefe mira confundido mesas ver si encuentra amigos
110,Se funde abrazo Alfred
111,El Jefe estudió Alfred O Pueblo Princesa bien terminó tesis doctoral volvió Puerto Rico puso enseñar escuela Río Piedras
112,Tiene ventaja padres médicos dinero reservado
113,Dinero existe crisis permite ahora muerto comenzar construir refugio Isabela llama La Catedral viven varios maestros estudiantes
114,La Catedral grupos voluntariamente renuncian energía eléctrica reciben excepción contributiva además recursos proveen militares independizarse Estado moneda
115,Pero funcionando muy bien admite Jefe frustración dura frustración medio autista si dijera mismo mirando suelo
116,El grupo dedica diseminar conocimiento ingeniería práctica cualquiera
117,Enseña ciencias matemáticas primeros avisados venden carro precios carros colapsen alza petróleo
118,Es mulato alto atlético lleva vida sana contrario casi amigos
119,Trilci Alice llenan besos Alfred quiere ponerse celoso puede
120,Al Jefe interesa mantener horror perímetro
121,Las líneas fuga vocación
122,Pero aburre compañeros acción
123,No aburra nunca admitiría
124,Frente recriminaciones cínicas veces Alfred hace siempre contesta misma manera
125,Todo hago grupos perder idealismo
126,Yo voy asambleas compañeros expurgarme idealismo
127,Y Alfred encojona cada vez Jefe dice
128,Entonces ¿yo compañero
129,Sólo compañeros acción Jefe puede hablar cosas entiende sólo entiende causa ninguna ansiedad
130,Es decir —que tan ansioso— relajado amigos locos medio £n modernidad
131,El Jefe da modesta calada blunt Trilci va directo bar intercambiar unas libras yuca encebollada botella ron
132,Vuelve mesa ron sobra yuca
133,Alfred pone tragar si mundo acabando
134,Alice Trilci nariz demasiado tocada comer comparten compota berenjenas avinagradas
135,¿Cómo Alfred pregunta amigo ¿cómo
136,amigos significa ¿cómo
137,pura hospitalidad
138,Pues muy bien Jefe creo perdiendo nuevo
139,Deixa cara falar porra
140,Alice revierte portugués Alfred desespera
141,El Jefe embargo paciencia
142,Tiene niño zoológico habla amigo
143,¿Qué broder
144,No sé llevo días desorbitado escuchando voces nuevo
145,Transcribo aquí libretita cosas dicen
