source,target
19,21
19,149
19,205
19,266
19,281
19,282
19,287
19,293
19,297
19,299
19,309
19,311
19,329
19,338
19,339
19,341
19,351
19,361
19,362
19,363
19,374
19,382
19,396
19,397
19,399
19,423
19,465
19,476
19,477
19,479
19,927
19,951
19,952
19,953
19,1073
19,1074
19,1213
19,1214
19,1215
19,1222
21,149
21,205
21,266
21,281
21,282
21,287
21,293
21,297
21,299
21,309
21,311
21,329
21,338
21,339
21,341
21,351
21,361
21,362
21,363
21,374
21,382
21,396
21,397
21,399
21,423
21,465
21,476
21,477
21,479
21,927
21,951
21,952
21,953
21,1073
21,1074
21,1213
21,1214
21,1215
21,1222
149,205
149,266
149,281
149,282
149,287
149,293
149,297
149,299
149,309
149,311
149,329
149,338
149,339
149,341
149,351
149,361
149,362
149,363
149,374
149,382
149,396
149,397
149,399
149,423
149,465
149,476
149,477
149,479
149,927
149,951
149,952
149,953
149,1073
149,1074
149,1213
149,1214
149,1215
149,1222
205,266
205,281
205,282
205,287
205,293
205,297
205,299
205,309
205,311
205,329
205,338
205,339
205,341
205,351
205,361
205,362
205,363
205,374
205,382
205,396
205,397
205,399
205,423
205,465
205,476
205,477
205,479
205,927
205,951
205,952
205,953
205,1073
205,1074
205,1213
205,1214
205,1215
205,1222
266,281
266,282
266,287
266,293
266,297
266,299
266,309
266,311
266,329
266,338
266,339
266,341
266,351
266,361
266,362
266,363
266,374
266,382
266,396
266,397
266,399
266,423
266,465
266,476
266,477
266,479
266,927
266,951
266,952
266,953
266,1073
266,1074
266,1213
266,1214
266,1215
266,1222
281,282
281,287
281,293
281,297
281,299
281,309
281,311
281,329
281,338
281,339
281,341
281,351
281,361
281,362
281,363
281,374
281,382
281,396
281,397
281,399
281,423
281,465
281,476
281,477
281,479
281,927
281,951
281,952
281,953
281,1073
281,1074
281,1213
281,1214
281,1215
281,1222
282,287
282,293
282,297
282,299
282,309
282,311
282,329
282,338
282,339
282,341
282,351
282,361
282,362
282,363
282,374
282,382
282,396
282,397
282,399
282,423
282,465
282,476
282,477
282,479
282,927
282,951
282,952
282,953
282,1073
282,1074
282,1213
282,1214
282,1215
282,1222
287,293
287,297
287,299
287,309
287,311
287,329
287,338
287,339
287,341
287,351
287,361
287,362
287,363
287,374
287,382
287,396
287,397
287,399
287,423
287,465
287,476
287,477
287,479
287,927
287,951
287,952
287,953
287,1073
287,1074
287,1213
287,1214
287,1215
287,1222
293,297
293,299
293,309
293,311
293,329
293,338
293,339
293,341
293,351
293,361
293,362
293,363
293,374
293,382
293,396
293,397
293,399
293,423
293,465
293,476
293,477
293,479
293,927
293,951
293,952
293,953
293,1073
293,1074
293,1213
293,1214
293,1215
293,1222
297,299
297,309
297,311
297,329
297,338
297,339
297,341
297,351
297,361
297,362
297,363
297,374
297,382
297,396
297,397
297,399
297,423
297,465
297,476
297,477
297,479
297,927
297,951
297,952
297,953
297,1073
297,1074
297,1213
297,1214
297,1215
297,1222
299,309
299,311
299,329
299,338
299,339
299,341
299,351
299,361
299,362
299,363
299,374
299,382
299,396
299,397
299,399
299,423
299,465
299,476
299,477
299,479
299,927
299,951
299,952
299,953
299,1073
299,1074
299,1213
299,1214
299,1215
299,1222
309,311
309,329
309,338
309,339
309,341
309,351
309,361
